job_id,title,company,added_at,source,job_category,date
linkedin_4384532425,"Research Analyst, Brand Health Tracking",Ipsos in Canada,2026-05-15T20:41:02.566334,LinkedIn,Analyst / BA / SA,2026-05-15
linkedin_4414976998,Nursing Informatics Specialist,Alignerr,2026-05-15T20:41:02.567837,LinkedIn,Health Informatics,2026-05-15
linkedin_3852113363,Forecasting Analyst (Evergreen),Canadian Tire Corporation,2026-05-15T20:41:02.569270,LinkedIn,Analyst / BA / SA,2026-05-15
linkedin_4414995118,OpenClaw Trace Contributor — AI Agent Data,Alignerr,2026-05-15T20:41:02.570512,LinkedIn,Other,2026-05-15
linkedin_4414941148,"Stagiaire ou stagiaire coop, Données et analyses (mai 2026)",BDO Canada,2026-05-15T20:41:02.571912,LinkedIn,Co-op / Intern,2026-05-15
linkedin_4411550053,"Contracting, Data &amp; Operations Legal Analyst",Equinix,2026-05-15T20:41:02.573985,LinkedIn,Analyst / BA / SA,2026-05-15
linkedin_4414982262,Ingénieur ou ingénieure assoc. I,TD,2026-05-15T20:41:02.576338,LinkedIn,Other,2026-05-15
linkedin_4414773825,"Développeur(euse) junior, Power Platform",Intact,2026-05-15T20:41:02.578140,LinkedIn,Other,2026-05-15
linkedin_4411708385,Research Summer Student 2026,University Health Network,2026-05-15T20:41:02.578831,LinkedIn,Other,2026-05-15
linkedin_4414641818,"Analyst, Real Estate",HOOPP (Healthcare of Ontario Pension Plan),2026-05-15T20:41:02.579577,LinkedIn,Analyst / BA / SA,2026-05-15
linkedin_4414720394,"Financial Analyst, Revenue and Bank Reconciliations",Dentalcorp,2026-05-15T20:41:02.580161,LinkedIn,Analyst / BA / SA,2026-05-15
linkedin_4405260615,Financial Analyst,BGB Group,2026-05-15T20:41:02.580773,LinkedIn,Analyst / BA / SA,2026-05-15
linkedin_4415532952,Junior Systems Developer Intern,TMX Group,2026-05-16T21:00:47.178661,LinkedIn,Co-op / Intern,2026-05-16
linkedin_4412046322,Software Developer-1 - Summer HIre,Achēv,2026-05-16T21:00:47.193953,LinkedIn,Software / Tech,2026-05-16
linkedin_4412049198,Full Stack Developer,Konrad,2026-05-16T21:00:47.197207,LinkedIn,Software / Tech,2026-05-16
linkedin_4412028810,Full Stack Engineer,SoTalent,2026-05-16T21:00:47.201088,LinkedIn,Software / Tech,2026-05-16
linkedin_4403635466,Associate Data Scientist - GenAI,Manulife,2026-05-16T21:00:47.201861,LinkedIn,Other,2026-05-16
linkedin_4404527230,Software Engineer - Platform Productivity | Canada | Remote,Grafana Labs,2026-05-16T21:00:47.204018,LinkedIn,Software / Tech,2026-05-16
linkedin_4415089629,Data Scientist,Aviva Canada,2026-05-16T21:00:47.204876,LinkedIn,Other,2026-05-16
linkedin_4415502676,FPGA Compiler Software Engineer,Altera,2026-05-16T21:00:47.206843,LinkedIn,Software / Tech,2026-05-16
linkedin_4415508217,Founding Engineer,Ultrassure,2026-05-16T21:00:47.208806,LinkedIn,Software / Tech,2026-05-16
linkedin_4415130449,Agent Experience Engineer,ACTO,2026-05-16T21:00:47.211368,LinkedIn,Software / Tech,2026-05-16
linkedin_4415508479,FPGA Development Tools Engineer,Altera,2026-05-16T21:00:47.212127,LinkedIn,Software / Tech,2026-05-16
linkedin_4415369927,"Data Scientist, ONCAP - 12 Month Contract",Onex,2026-05-16T21:00:47.212924,LinkedIn,Other,2026-05-16
linkedin_4409724189,Android Software Engineer - Infotainment Apps,Rivian and Volkswagen Group Technologies,2026-05-16T21:00:47.214860,LinkedIn,Software / Tech,2026-05-16
linkedin_4415515295,FPGA Development Tools Engineer,Altera,2026-05-16T21:00:47.215807,LinkedIn,Software / Tech,2026-05-16
linkedin_4412066221,Data Services Developer Associate (September 2026 - Toronto or Calgary),IBM,2026-05-16T21:00:47.217009,LinkedIn,Software / Tech,2026-05-16
linkedin_4412037881,Data Analyst,Konrad,2026-05-16T21:00:47.218200,LinkedIn,Data / Analytics,2026-05-16
linkedin_4412031934,Data Analyst,Konrad,2026-05-16T21:00:47.219016,LinkedIn,Data / Analytics,2026-05-16
linkedin_4405388735,Applied AI Analyst,Autodesk,2026-05-16T21:00:47.219800,LinkedIn,Analyst / BA / SA,2026-05-16
linkedin_4405705050,Applied AI Analyst,Autodesk,2026-05-16T21:00:47.226045,LinkedIn,Analyst / BA / SA,2026-05-16
linkedin_4393023582,Social Analyst,OLIVER | The Brandtech Group,2026-05-16T21:00:47.227340,LinkedIn,Analyst / BA / SA,2026-05-16
linkedin_4393803831,Production Adoption Analyst,Prophix,2026-05-16T21:00:47.228462,LinkedIn,Analyst / BA / SA,2026-05-16
linkedin_4415386558,Data Modeler,Soroc Technology,2026-05-16T21:00:47.229425,LinkedIn,Other,2026-05-16
linkedin_4415803449,System Analyst - Support,TierOne,2026-05-16T21:00:47.230354,LinkedIn,Analyst / BA / SA,2026-05-16
linkedin_4415547109,Technical Systems Analyst Co-op,CIBC,2026-05-16T21:00:47.230893,LinkedIn,Co-op / Intern,2026-05-16
linkedin_4415815192,Software Developer,TierOne,2026-05-16T21:00:47.231308,LinkedIn,Software / Tech,2026-05-16
linkedin_4415532247,"Analyste II, Systèmes opérationnels",TD,2026-05-16T21:00:47.231774,LinkedIn,Analyst / BA / SA,2026-05-16
greenhouse_hootsuite_7476830,"Intermediate Software Developer,  Frontend/Full Stack",Hootsuite,2026-05-16T21:00:47.232381,Greenhouse,Software / Tech,2026-05-16
linkedin_4352363805,"Engineer I - Front End, Data Visualization (Hybrid)",CrowdStrike,2026-05-17T20:39:13.347107,LinkedIn,Software / Tech,2026-05-17
linkedin_3998438100,"Software Engineer, Backend (All Levels / All Teams)",DoorDash,2026-05-17T20:39:13.362703,LinkedIn,Software / Tech,2026-05-17
linkedin_4397166594,Associate Data Scientist - User Fraud,Spotify,2026-05-17T20:39:13.363489,LinkedIn,Other,2026-05-17
linkedin_4373045521,"AI Developer, Full Stack (Python/React) II",Intact,2026-05-17T20:39:13.364184,LinkedIn,Software / Tech,2026-05-17
linkedin_4415426017,Rust Developer - Remote,YO IT Consulting,2026-05-17T20:39:13.365163,LinkedIn,Software / Tech,2026-05-17
linkedin_4415883527,Software QA Technician Co-0p,Hexagon Mining,2026-05-17T20:39:13.366216,LinkedIn,Software / Tech,2026-05-17
linkedin_4391161249,Applied AI Specialist – AI Solutions,Element Fleet Management,2026-05-17T20:39:13.367176,LinkedIn,Other,2026-05-17
linkedin_4415896761,Certified MS Purview Developer @ Toronto,Liztek,2026-05-17T20:39:13.367861,LinkedIn,Software / Tech,2026-05-17
linkedin_4415187727,Analytical Evaluator - AI Feedback,Mercor,2026-05-17T20:39:13.368495,LinkedIn,Other,2026-05-17
linkedin_4405700280,Data Analyst - Corporate Reporting,GM Financial,2026-05-17T20:39:13.369160,LinkedIn,Data / Analytics,2026-05-17
linkedin_4383964771,Reporting Specialist,GM Financial,2026-05-17T20:39:13.370500,LinkedIn,Other,2026-05-17
linkedin_4416042541,Software Engineer,InstaLILY AI,2026-05-18T21:01:10.731845,LinkedIn,Software / Tech,2026-05-18
